storeName,tier,state,latitude,longitude
Ajmer Neeti Marg,Tier 2,Rajasthan,26.4499,74.6399
Bathinda Adesh Hospital,Tier 2,Punjab,30.211,74.9455
Bhopal Lakherapura,Tier 2,Madhya Pradesh,23.2599,77.4126
Cantonment Road Chhatarpur,Tier 3,Madhya Pradesh,24.918,79.5941
CDR Chowk Defence Colony Block A,Tier 1,Delhi,28.5706,77.2331
Delhi Dwarka Sec 1,Tier 1,Delhi,28.5921,77.046
Delhi Dwarka Sec 11,Tier 1,Delhi,28.5921,77.046
Delhi Rajouri Garden,Tier 1,Delhi,28.6515,77.1283
Delhi Shadi Khampur,Tier 1,Delhi,28.7041,77.1025
Dharamshala Palampur HP,Tier 3,Himachal Pradesh,32.219,76.3234
Dummy Store --- For Testing Only,Test,Test,0,0
Dwarka 1,Tier 1,Delhi,28.5921,77.046
Dwarka 12,Tier 1,Delhi,28.5921,77.046
Dwarka Mor,Tier 1,Delhi,28.5921,77.046
Faridabad Greenfield,Tier 1,Haryana,28.4089,77.3178
Faridabad Sector 28,Tier 1,Haryana,28.4089,77.3178
Faridabad Sector 81,Tier 1,Haryana,28.4089,77.3178
Ghaziabad Raj Nagar,Tier 1,Uttar Pradesh,28.6692,77.4538
Gurugram Platina Tower,Tier 1,Haryana,28.4595,77.0266
Gurugram ROF,Tier 1,Haryana,28.4595,77.0266
Gurugram Sector 22,Tier 1,Haryana,28.4595,77.0266
Gurugram Sector 48,Tier 1,Haryana,28.4595,77.0266
Gurugram South City,Tier 1,Haryana,28.4595,77.0266
Gurugram Star Mall,Tier 1,Haryana,28.4595,77.0266
Hanumangarh City Center,Tier 3,Rajasthan,29.5814,74.3222
Hyderabad MJ Center,Tier 1,Telangana,17.385,78.4867
Jaipur Gopalpura,Tier 2,Rajasthan,26.9124,75.7873
Jaipur Rajapark,Tier 2,Rajasthan,26.9124,75.7873
Jaipur Vaishali,Tier 2,Rajasthan,26.9124,75.7873
Janakpuri Block A,Tier 1,Delhi,28.6219,77.0878
Jodhpur Shiv Gauri Plaza,Tier 2,Rajasthan,26.2389,73.0243
Kalka Ji Block B,Tier 1,Delhi,28.5355,77.2482
Kalka Ji Block G,Tier 1,Delhi,28.5355,77.2482
Kharar Kurali Ropar Road,Tier 2,Punjab,30.7333,76.6467
Kharar Sector 126,Tier 2,Punjab,30.7333,76.6467
Lucknow Aliganj,Tier 1,Uttar Pradesh,26.8467,80.9462
Lucknow Omaxe,Tier 1,Uttar Pradesh,26.8467,80.9462
Marlboro Sale Store,Test,Test,0,0
Marlboro Sale Store Satpal,Test,Test,0,0
Meerut Kidwai Nagar,Tier 2,Uttar Pradesh,28.9845,77.7064
Meerut NH 58,Tier 2,Uttar Pradesh,28.9845,77.7064
Mohali Sector 59,Tier 2,Punjab,30.7046,76.7179
Mohali Sector 70,Tier 2,Punjab,30.7046,76.7179
Nellore Gautham Nagar,Tier 2,Andhra Pradesh,14.4426,79.9865
Noida Sector 90,Tier 1,Uttar Pradesh,28.5355,77.391
Paharganj,Tier 1,Delhi,28.6448,77.2097
Paharganj Multani Dhanda,Tier 1,Delhi,28.6448,77.2097
Pune Hadapsar,Tier 1,Maharashtra,18.5204,73.8567
Rohini Sector 16,Tier 1,Delhi,28.7041,77.1025
Rohini Sector 16 (Gagan Batra),Tier 1,Delhi,28.7041,77.1025
Rudrapur Prime Height,Tier 3,Uttarakhand,28.9845,79.4133
